,Prob_Up
2022-05-31 00:00:00+00:00,0.5818181818181818
2022-06-01 00:00:00+00:00,0.5818181818181818
2022-06-02 00:00:00+00:00,0.5818181818181818
2022-06-03 00:00:00+00:00,0.5818181818181818
2022-06-06 00:00:00+00:00,0.5818181818181818
2022-06-07 00:00:00+00:00,0.5818181818181818
2022-06-08 00:00:00+00:00,0.5818181818181818
2022-06-09 00:00:00+00:00,0.5818181818181818
2022-06-10 00:00:00+00:00,0.5818181818181818
2022-06-13 00:00:00+00:00,0.5818181818181818
2022-06-14 00:00:00+00:00,0.5818181818181818
2022-06-15 00:00:00+00:00,0.5818181818181818
2022-06-16 00:00:00+00:00,0.5818181818181818
2022-06-17 00:00:00+00:00,0.5384615384615384
2022-06-21 00:00:00+00:00,0.5818181818181818
2022-06-22 00:00:00+00:00,0.5818181818181818
2022-06-23 00:00:00+00:00,0.5818181818181818
2022-06-24 00:00:00+00:00,0.5818181818181818
2022-06-27 00:00:00+00:00,0.5818181818181818
2022-06-28 00:00:00+00:00,0.5818181818181818
2022-06-29 00:00:00+00:00,0.5818181818181818
2022-06-30 00:00:00+00:00,0.5818181818181818
2022-07-01 00:00:00+00:00,0.5818181818181818
2022-07-05 00:00:00+00:00,0.99
2022-07-06 00:00:00+00:00,0.5818181818181818
2022-07-07 00:00:00+00:00,0.5818181818181818
2022-07-08 00:00:00+00:00,0.5818181818181818
2022-07-11 00:00:00+00:00,0.5818181818181818
2022-07-12 00:00:00+00:00,0.5818181818181818
2022-07-13 00:00:00+00:00,0.5818181818181818
2022-07-14 00:00:00+00:00,0.5818181818181818
2022-07-15 00:00:00+00:00,0.5818181818181818
2022-07-18 00:00:00+00:00,0.5818181818181818
2022-07-19 00:00:00+00:00,0.5818181818181818
2022-07-20 00:00:00+00:00,0.5818181818181818
2022-07-21 00:00:00+00:00,0.5818181818181818
2022-07-22 00:00:00+00:00,0.5818181818181818
2022-07-25 00:00:00+00:00,0.5818181818181818
2022-07-26 00:00:00+00:00,0.5818181818181818
2022-07-27 00:00:00+00:00,0.5818181818181818
2022-07-28 00:00:00+00:00,0.5818181818181818
2022-07-29 00:00:00+00:00,0.5818181818181818
2022-08-01 00:00:00+00:00,0.5818181818181818
2022-08-02 00:00:00+00:00,0.5818181818181818
2022-08-03 00:00:00+00:00,0.5818181818181818
2022-08-04 00:00:00+00:00,0.5818181818181818
2022-08-05 00:00:00+00:00,0.5818181818181818
2022-08-08 00:00:00+00:00,0.5818181818181818
2022-08-09 00:00:00+00:00,0.5818181818181818
2022-08-10 00:00:00+00:00,0.99
2022-08-11 00:00:00+00:00,0.5818181818181818
2022-08-12 00:00:00+00:00,0.8566375701507198
2022-08-15 00:00:00+00:00,0.5818181818181818
2022-08-16 00:00:00+00:00,0.5818181818181818
2022-08-17 00:00:00+00:00,0.5818181818181818
2022-08-18 00:00:00+00:00,0.5818181818181818
2022-08-19 00:00:00+00:00,0.5818181818181818
2022-08-22 00:00:00+00:00,0.5818181818181818
2022-08-23 00:00:00+00:00,0.5818181818181818
2022-08-24 00:00:00+00:00,0.99
2022-08-25 00:00:00+00:00,0.5818181818181818
2022-08-26 00:00:00+00:00,0.5818181818181818
2022-08-29 00:00:00+00:00,0.5818181818181818
2022-08-30 00:00:00+00:00,0.5818181818181818
2022-08-31 00:00:00+00:00,0.5818181818181818
2022-09-01 00:00:00+00:00,0.5818181818181818
2022-09-02 00:00:00+00:00,0.5818181818181818
2022-09-06 00:00:00+00:00,0.5818181818181818
2022-09-07 00:00:00+00:00,0.5818181818181818
2022-09-08 00:00:00+00:00,0.5818181818181818
2022-09-09 00:00:00+00:00,0.5818181818181818
2022-09-12 00:00:00+00:00,0.5818181818181818
2022-09-13 00:00:00+00:00,0.5818181818181818
2022-09-14 00:00:00+00:00,0.5818181818181818
2022-09-15 00:00:00+00:00,0.5818181818181818
2022-09-16 00:00:00+00:00,0.5818181818181818
2022-09-19 00:00:00+00:00,0.99
2022-09-20 00:00:00+00:00,0.5818181818181818
2022-09-21 00:00:00+00:00,0.5818181818181818
2022-09-22 00:00:00+00:00,0.6817625622455458
2022-09-23 00:00:00+00:00,0.5818181818181818
2022-09-26 00:00:00+00:00,0.5384615384615384
2022-09-27 00:00:00+00:00,0.46511627906976744
2022-09-28 00:00:00+00:00,0.5818181818181818
2022-09-29 00:00:00+00:00,0.5818181818181818
2022-09-30 00:00:00+00:00,0.5818181818181818
2022-10-03 00:00:00+00:00,0.5818181818181818
2022-10-04 00:00:00+00:00,0.5818181818181818
2022-10-05 00:00:00+00:00,0.5818181818181818
2022-10-06 00:00:00+00:00,0.5818181818181818
2022-10-07 00:00:00+00:00,0.5384615384615384
2022-10-10 00:00:00+00:00,0.5818181818181818
2022-10-11 00:00:00+00:00,0.5818181818181818
2022-10-12 00:00:00+00:00,0.5818181818181818
2022-10-13 00:00:00+00:00,0.5818181818181818
2022-10-14 00:00:00+00:00,0.5818181818181818
2022-10-17 00:00:00+00:00,0.5818181818181818
2022-10-18 00:00:00+00:00,0.5818181818181818
2022-10-19 00:00:00+00:00,0.5818181818181818
2022-10-20 00:00:00+00:00,0.5818181818181818
2022-10-21 00:00:00+00:00,0.5818181818181818
2022-10-24 00:00:00+00:00,0.5818181818181818
2022-10-25 00:00:00+00:00,0.5818181818181818
2022-10-26 00:00:00+00:00,0.5818181818181818
2022-10-27 00:00:00+00:00,0.5384615384615384
2022-10-28 00:00:00+00:00,0.5818181818181818
2022-10-31 00:00:00+00:00,0.5818181818181818
2022-11-01 00:00:00+00:00,0.99
2022-11-02 00:00:00+00:00,0.5818181818181818
2022-11-03 00:00:00+00:00,0.5818181818181818
2022-11-04 00:00:00+00:00,0.5818181818181818
2022-11-07 00:00:00+00:00,0.5818181818181818
2022-11-08 00:00:00+00:00,0.5818181818181818
2022-11-09 00:00:00+00:00,0.5818181818181818
2022-11-10 00:00:00+00:00,0.99
2022-11-11 00:00:00+00:00,0.5818181818181818
2022-11-14 00:00:00+00:00,0.5818181818181818
2022-11-15 00:00:00+00:00,0.5818181818181818
2022-11-16 00:00:00+00:00,0.99
2022-11-17 00:00:00+00:00,0.5818181818181818
2022-11-18 00:00:00+00:00,0.5
2022-11-21 00:00:00+00:00,0.4
2022-11-22 00:00:00+00:00,0.4
2022-11-23 00:00:00+00:00,0.5263157894736842
2022-11-25 00:00:00+00:00,0.5287565454255577
2022-11-28 00:00:00+00:00,0.5476190476190477
2022-11-29 00:00:00+00:00,0.5476190476190477
2022-11-30 00:00:00+00:00,0.4
2022-12-01 00:00:00+00:00,0.5476190476190477
2022-12-02 00:00:00+00:00,0.5263157894736842
2022-12-05 00:00:00+00:00,0.4642857142857143
2022-12-06 00:00:00+00:00,0.5476190476190477
2022-12-07 00:00:00+00:00,0.5263157894736842
2022-12-08 00:00:00+00:00,0.5476190476190477
2022-12-09 00:00:00+00:00,0.5263157894736842
2022-12-12 00:00:00+00:00,0.5476190476190477
2022-12-13 00:00:00+00:00,0.5476190476190477
2022-12-14 00:00:00+00:00,0.5354959042742633
2022-12-15 00:00:00+00:00,0.4642857142857143
2022-12-16 00:00:00+00:00,0.5476190476190477
2022-12-19 00:00:00+00:00,0.5
2022-12-20 00:00:00+00:00,0.5263157894736842
2022-12-21 00:00:00+00:00,0.4
2022-12-22 00:00:00+00:00,0.4642857142857143
2022-12-23 00:00:00+00:00,0.5476190476190477
2022-12-27 00:00:00+00:00,0.5476190476190477
2022-12-28 00:00:00+00:00,0.5476190476190477
2022-12-29 00:00:00+00:00,0.5476190476190477
2022-12-30 00:00:00+00:00,0.4642857142857143
2023-01-03 00:00:00+00:00,0.5476190476190477
2023-01-04 00:00:00+00:00,0.5476190476190477
2023-01-05 00:00:00+00:00,0.4
2023-01-06 00:00:00+00:00,0.5
2023-01-09 00:00:00+00:00,0.5476190476190477
2023-01-10 00:00:00+00:00,0.5263157894736842
2023-01-11 00:00:00+00:00,0.5263157894736842
2023-01-12 00:00:00+00:00,0.5317593492223648
2023-01-13 00:00:00+00:00,0.5
2023-01-17 00:00:00+00:00,0.5476190476190477
2023-01-18 00:00:00+00:00,0.4642857142857143
2023-01-19 00:00:00+00:00,0.5476190476190477
2023-01-20 00:00:00+00:00,0.5
2023-01-23 00:00:00+00:00,0.16514574155305536
2023-01-24 00:00:00+00:00,0.5263157894736842
2023-01-25 00:00:00+00:00,0.4642857142857143
2023-01-26 00:00:00+00:00,0.5
2023-01-27 00:00:00+00:00,0.4
2023-01-30 00:00:00+00:00,0.4642857142857143
2023-01-31 00:00:00+00:00,0.5476190476190477
2023-02-01 00:00:00+00:00,0.4
2023-02-02 00:00:00+00:00,0.5476190476190477
2023-02-03 00:00:00+00:00,0.4642857142857143
2023-02-06 00:00:00+00:00,0.4
2023-02-07 00:00:00+00:00,0.5
2023-02-08 00:00:00+00:00,0.4
2023-02-09 00:00:00+00:00,0.4642857142857143
2023-02-10 00:00:00+00:00,0.5263157894736842
2023-02-13 00:00:00+00:00,0.4642857142857143
2023-02-14 00:00:00+00:00,0.4642857142857143
2023-02-15 00:00:00+00:00,0.5476190476190477
2023-02-16 00:00:00+00:00,0.4
2023-02-17 00:00:00+00:00,0.4642857142857143
2023-02-21 00:00:00+00:00,0.4
2023-02-22 00:00:00+00:00,0.5476190476190477
2023-02-23 00:00:00+00:00,0.4642857142857143
2023-02-24 00:00:00+00:00,0.4642857142857143
2023-02-27 00:00:00+00:00,0.5476190476190477
2023-02-28 00:00:00+00:00,0.5263157894736842
2023-03-01 00:00:00+00:00,0.5
2023-03-02 00:00:00+00:00,0.5263157894736842
2023-03-03 00:00:00+00:00,0.4642857142857143
2023-03-06 00:00:00+00:00,0.451124055878101
2023-03-07 00:00:00+00:00,0.5476190476190477
2023-03-08 00:00:00+00:00,0.5476190476190477
2023-03-09 00:00:00+00:00,0.5416740176304193
2023-03-10 00:00:00+00:00,0.5263157894736842
2023-03-13 00:00:00+00:00,0.4642857142857143
2023-03-14 00:00:00+00:00,0.5476190476190477
2023-03-15 00:00:00+00:00,0.5476190476190477
2023-03-16 00:00:00+00:00,0.5476190476190477
2023-03-17 00:00:00+00:00,0.5476190476190477
2023-03-20 00:00:00+00:00,0.5476190476190477
2023-03-21 00:00:00+00:00,0.5263157894736842
2023-03-22 00:00:00+00:00,0.5476190476190477
2023-03-23 00:00:00+00:00,0.5476190476190477
2023-03-24 00:00:00+00:00,0.5476190476190477
2023-03-27 00:00:00+00:00,0.4
2023-03-28 00:00:00+00:00,0.4642857142857143
2023-03-29 00:00:00+00:00,0.4642857142857143
2023-03-30 00:00:00+00:00,0.5
2023-03-31 00:00:00+00:00,0.5
2023-04-03 00:00:00+00:00,0.4642857142857143
2023-04-04 00:00:00+00:00,0.5263157894736842
2023-04-05 00:00:00+00:00,0.5476190476190477
2023-04-06 00:00:00+00:00,0.5476190476190477
2023-04-10 00:00:00+00:00,0.5476190476190477
2023-04-11 00:00:00+00:00,0.5476190476190477
2023-04-12 00:00:00+00:00,0.5476190476190477
2023-04-13 00:00:00+00:00,0.5263157894736842
2023-04-14 00:00:00+00:00,0.5476190476190477
2023-04-17 00:00:00+00:00,0.4642857142857143
2023-04-18 00:00:00+00:00,0.5263157894736842
2023-04-19 00:00:00+00:00,0.13804892291295023
2023-04-20 00:00:00+00:00,0.4642857142857143
2023-04-21 00:00:00+00:00,0.5476190476190477
2023-04-24 00:00:00+00:00,0.4
2023-04-25 00:00:00+00:00,0.5263157894736842
2023-04-26 00:00:00+00:00,0.5271193453861764
2023-04-27 00:00:00+00:00,0.5476190476190477
2023-04-28 00:00:00+00:00,0.5476190476190477
2023-05-01 00:00:00+00:00,0.5476190476190477
2023-05-02 00:00:00+00:00,0.5263157894736842
2023-05-03 00:00:00+00:00,0.5
2023-05-04 00:00:00+00:00,0.5476190476190477
2023-05-05 00:00:00+00:00,0.4642857142857143
2023-05-08 00:00:00+00:00,0.5476190476190477
2023-05-09 00:00:00+00:00,0.01
2023-05-10 00:00:00+00:00,0.5476190476190477
2023-05-11 00:00:00+00:00,0.4
2023-05-12 00:00:00+00:00,0.4642857142857143
2023-05-15 00:00:00+00:00,0.4642857142857143
2023-05-16 00:00:00+00:00,0.4
2023-05-17 00:00:00+00:00,0.4
2023-05-18 00:00:00+00:00,0.4
2023-05-19 00:00:00+00:00,0.4
2023-05-22 00:00:00+00:00,0.5
2023-05-23 00:00:00+00:00,0.5476190476190477
2023-05-24 00:00:00+00:00,0.5476190476190477
2023-05-25 00:00:00+00:00,0.5476190476190477
2023-05-26 00:00:00+00:00,0.4642857142857143
2023-05-30 00:00:00+00:00,0.4642857142857143
2023-05-31 00:00:00+00:00,0.4
2023-06-01 00:00:00+00:00,0.541811621064261
2023-06-02 00:00:00+00:00,0.4642857142857143
2023-06-05 00:00:00+00:00,0.5476190476190477
2023-06-06 00:00:00+00:00,0.5476190476190477
2023-06-07 00:00:00+00:00,0.5263157894736842
2023-06-08 00:00:00+00:00,0.4642857142857143
2023-06-09 00:00:00+00:00,0.4
2023-06-12 00:00:00+00:00,0.4642857142857143
2023-06-13 00:00:00+00:00,0.5476190476190477
2023-06-14 00:00:00+00:00,0.4
2023-06-15 00:00:00+00:00,0.4
2023-06-16 00:00:00+00:00,0.4642857142857143
2023-06-20 00:00:00+00:00,0.4642857142857143
2023-06-21 00:00:00+00:00,0.5
2023-06-22 00:00:00+00:00,0.4642857142857143
2023-06-23 00:00:00+00:00,0.4
2023-06-26 00:00:00+00:00,0.5476190476190477
2023-06-27 00:00:00+00:00,0.5476190476190477
2023-06-28 00:00:00+00:00,0.4642857142857143
2023-06-29 00:00:00+00:00,0.4
2023-06-30 00:00:00+00:00,0.5263157894736842
2023-07-03 00:00:00+00:00,0.5263157894736842
2023-07-05 00:00:00+00:00,0.5263157894736842
2023-07-06 00:00:00+00:00,0.5476190476190477
2023-07-07 00:00:00+00:00,0.5476190476190477
2023-07-10 00:00:00+00:00,0.4642857142857143
2023-07-11 00:00:00+00:00,0.5476190476190477
2023-07-12 00:00:00+00:00,0.4642857142857143
2023-07-13 00:00:00+00:00,0.5476190476190477
2023-07-14 00:00:00+00:00,0.5476190476190477
2023-07-17 00:00:00+00:00,0.5263157894736842
2023-07-18 00:00:00+00:00,0.5476190476190477
2023-07-19 00:00:00+00:00,0.5263157894736842
2023-07-20 00:00:00+00:00,0.5476190476190477
2023-07-21 00:00:00+00:00,0.5476190476190477
2023-07-24 00:00:00+00:00,0.4642857142857143
2023-07-25 00:00:00+00:00,0.5476190476190477
2023-07-26 00:00:00+00:00,0.5476190476190477
2023-07-27 00:00:00+00:00,0.4642857142857143
2023-07-28 00:00:00+00:00,0.5476190476190477
2023-07-31 00:00:00+00:00,0.5476190476190477
2023-08-01 00:00:00+00:00,0.5476190476190477
2023-08-02 00:00:00+00:00,0.5476190476190477
2023-08-03 00:00:00+00:00,0.5476190476190477
2023-08-04 00:00:00+00:00,0.5263157894736842
2023-08-07 00:00:00+00:00,0.5476190476190477
2023-08-08 00:00:00+00:00,0.6815002901577445
2023-08-09 00:00:00+00:00,0.5476190476190477
2023-08-10 00:00:00+00:00,0.5476190476190477
2023-08-11 00:00:00+00:00,0.5263157894736842
2023-08-14 00:00:00+00:00,0.5476190476190477
2023-08-15 00:00:00+00:00,0.5263157894736842
2023-08-16 00:00:00+00:00,0.5476190476190477
2023-08-17 00:00:00+00:00,0.5476190476190477
2023-08-18 00:00:00+00:00,0.4
2023-08-21 00:00:00+00:00,0.22012181884058502
2023-08-22 00:00:00+00:00,0.4
2023-08-23 00:00:00+00:00,0.4581124906264254
2023-08-24 00:00:00+00:00,0.4
2023-08-25 00:00:00+00:00,0.5263157894736842
2023-08-28 00:00:00+00:00,0.5
2023-08-29 00:00:00+00:00,0.4
2023-08-30 00:00:00+00:00,0.4
2023-08-31 00:00:00+00:00,0.4
2023-09-01 00:00:00+00:00,0.4
2023-09-05 00:00:00+00:00,0.4642857142857143
2023-09-06 00:00:00+00:00,0.4642857142857143
2023-09-07 00:00:00+00:00,0.5476190476190477
2023-09-08 00:00:00+00:00,0.5476190476190477
2023-09-11 00:00:00+00:00,0.5
2023-09-12 00:00:00+00:00,0.4
2023-09-13 00:00:00+00:00,0.5476190476190477
2023-09-14 00:00:00+00:00,0.4642857142857143
2023-09-15 00:00:00+00:00,0.4642857142857143
2023-09-18 00:00:00+00:00,0.5476190476190477
2023-09-19 00:00:00+00:00,0.5476190476190477
2023-09-20 00:00:00+00:00,0.5476190476190477
2023-09-21 00:00:00+00:00,0.5476190476190477
2023-09-22 00:00:00+00:00,0.5476190476190477
2023-09-25 00:00:00+00:00,0.5263157894736842
2023-09-26 00:00:00+00:00,0.5476190476190477
2023-09-27 00:00:00+00:00,0.5263157894736842
2023-09-28 00:00:00+00:00,0.5
2023-09-29 00:00:00+00:00,0.5360960638574328
2023-10-02 00:00:00+00:00,0.5476190476190477
2023-10-03 00:00:00+00:00,0.5476190476190477
2023-10-04 00:00:00+00:00,0.4642857142857143
2023-10-05 00:00:00+00:00,0.5476190476190477
2023-10-06 00:00:00+00:00,0.5476190476190477
2023-10-09 00:00:00+00:00,0.75
2023-10-10 00:00:00+00:00,0.5476190476190477
2023-10-11 00:00:00+00:00,0.5476190476190477
2023-10-12 00:00:00+00:00,0.5476190476190477
2023-10-13 00:00:00+00:00,0.5476190476190477
2023-10-16 00:00:00+00:00,0.5476190476190477
2023-10-17 00:00:00+00:00,0.5476190476190477
2023-10-18 00:00:00+00:00,0.5476190476190477
2023-10-19 00:00:00+00:00,0.5263157894736842
2023-10-20 00:00:00+00:00,0.2801587362917354
2023-10-23 00:00:00+00:00,0.4642857142857143
2023-10-24 00:00:00+00:00,0.5476190476190477
2023-10-25 00:00:00+00:00,0.5476190476190477
2023-10-26 00:00:00+00:00,0.5476190476190477
2023-10-27 00:00:00+00:00,0.5263157894736842
2023-10-30 00:00:00+00:00,0.5263157894736842
2023-10-31 00:00:00+00:00,0.42857142857142855
2023-11-01 00:00:00+00:00,0.42857142857142855
2023-11-02 00:00:00+00:00,0.42857142857142855
2023-11-03 00:00:00+00:00,0.42857142857142855
2023-11-06 00:00:00+00:00,0.42857142857142855
2023-11-07 00:00:00+00:00,0.5306122448979592
2023-11-08 00:00:00+00:00,0.5
2023-11-09 00:00:00+00:00,0.5306122448979592
2023-11-10 00:00:00+00:00,0.5306122448979592
2023-11-13 00:00:00+00:00,0.42857142857142855
2023-11-14 00:00:00+00:00,0.5
2023-11-15 00:00:00+00:00,0.42857142857142855
2023-11-16 00:00:00+00:00,0.5306122448979592
2023-11-17 00:00:00+00:00,0.7272727272727273
2023-11-20 00:00:00+00:00,0.5
2023-11-21 00:00:00+00:00,0.42857142857142855
2023-11-22 00:00:00+00:00,0.42857142857142855
2023-11-24 00:00:00+00:00,0.42857142857142855
2023-11-27 00:00:00+00:00,0.42857142857142855
2023-11-28 00:00:00+00:00,0.42857142857142855
2023-11-29 00:00:00+00:00,0.5
2023-11-30 00:00:00+00:00,0.42857142857142855
2023-12-01 00:00:00+00:00,0.42857142857142855
2023-12-04 00:00:00+00:00,0.42857142857142855
2023-12-05 00:00:00+00:00,0.42857142857142855
2023-12-06 00:00:00+00:00,0.42857142857142855
2023-12-07 00:00:00+00:00,0.42857142857142855
2023-12-08 00:00:00+00:00,0.42857142857142855
2023-12-11 00:00:00+00:00,0.42857142857142855
2023-12-12 00:00:00+00:00,0.42857142857142855
2023-12-13 00:00:00+00:00,0.42857142857142855
2023-12-14 00:00:00+00:00,0.42857142857142855
2023-12-15 00:00:00+00:00,0.42857142857142855
2023-12-18 00:00:00+00:00,0.42857142857142855
2023-12-19 00:00:00+00:00,0.5
2023-12-20 00:00:00+00:00,0.42857142857142855
2023-12-21 00:00:00+00:00,0.5306122448979592
2023-12-22 00:00:00+00:00,0.45454545454545453
2023-12-26 00:00:00+00:00,0.5
2023-12-27 00:00:00+00:00,0.42857142857142855
2023-12-28 00:00:00+00:00,0.42857142857142855
2023-12-29 00:00:00+00:00,0.5
2024-01-02 00:00:00+00:00,0.42857142857142855
2024-01-03 00:00:00+00:00,0.5306122448979592
2024-01-04 00:00:00+00:00,0.4458688834202017
2024-01-05 00:00:00+00:00,0.5306122448979592
2024-01-08 00:00:00+00:00,0.42857142857142855
2024-01-09 00:00:00+00:00,0.42857142857142855
2024-01-10 00:00:00+00:00,0.5
2024-01-11 00:00:00+00:00,0.45454545454545453
2024-01-12 00:00:00+00:00,0.5306122448979592
2024-01-16 00:00:00+00:00,0.5
2024-01-17 00:00:00+00:00,0.5306122448979592
2024-01-18 00:00:00+00:00,0.5306122448979592
2024-01-19 00:00:00+00:00,0.5306122448979592
2024-01-22 00:00:00+00:00,0.45454545454545453
2024-01-23 00:00:00+00:00,0.5
2024-01-24 00:00:00+00:00,0.5
2024-01-25 00:00:00+00:00,0.5306122448979592
2024-01-26 00:00:00+00:00,0.5306122448979592
2024-01-29 00:00:00+00:00,0.42857142857142855
2024-01-30 00:00:00+00:00,0.5306122448979592
2024-01-31 00:00:00+00:00,0.5306122448979592
2024-02-01 00:00:00+00:00,0.7272727272727273
2024-02-02 00:00:00+00:00,0.5
2024-02-05 00:00:00+00:00,0.42857142857142855
2024-02-06 00:00:00+00:00,0.42857142857142855
2024-02-07 00:00:00+00:00,0.42857142857142855
2024-02-08 00:00:00+00:00,0.42857142857142855
2024-02-09 00:00:00+00:00,0.42857142857142855
2024-02-12 00:00:00+00:00,0.42857142857142855
2024-02-13 00:00:00+00:00,0.42857142857142855
2024-02-14 00:00:00+00:00,0.5
2024-02-15 00:00:00+00:00,0.42857142857142855
2024-02-16 00:00:00+00:00,0.42857142857142855
2024-02-20 00:00:00+00:00,0.5
2024-02-21 00:00:00+00:00,0.99
2024-02-22 00:00:00+00:00,0.5306122448979592
